timestamp,x,y,z
2025-03-18 15:36:49.500997+00:00,1.28,0.24,0.61
2025-03-18 15:37:59.670346+00:00,5.37,-0.18,1.16
2025-03-18 15:51:47.985070+00:00,1.28,-0.55,0.49
2025-03-18 15:37:41.646929+00:00,-0.12,0.43,0.24
2025-03-18 15:50:59.654494+00:00,72.63,-545.29,72.39
2025-03-18 15:51:35.667565+00:00,-129.21,-461.55,439.76
2025-03-18 15:49:29.437389+00:00,0.06,0.18,0.06
2025-03-18 15:39:39.919353+00:00,-0.31,-1.28,-0.06
2025-03-18 15:37:27.620323+00:00,-6.47,-16.72,-0.79
2025-03-18 15:49:05.535624+00:00,0.06,0.18,0.06
2025-03-18 15:55:02.196730+00:00,-25.51,273.32,27.53
2025-03-18 15:57:04.506038+00:00,0.0,0.49,-0.31
2025-03-18 15:37:07.494598+00:00,16.17,-56.95,-8.73
2025-03-18 15:50:33.547414+00:00,0.12,0.24,0.0
2025-03-18 15:56:28.415622+00:00,0.12,0.18,0.0
2025-03-18 15:33:04.961825+00:00,0.92,0.37,0.06
2025-03-18 15:33:22.929800+00:00,-0.12,0.61,0.98
2025-03-18 15:48:39.262680+00:00,0.18,0.18,0.0
2025-03-18 15:48:29.429940+00:00,0.12,0.12,0.06
2025-03-18 15:39:52.003135+00:00,-5.98,-0.61,-1.95
2025-03-18 15:48:53.290097+00:00,-14.4,-4.09,20.45
2025-03-18 15:35:13.205364+00:00,0.24,0.06,0.49
2025-03-18 15:53:15.946077+00:00,101.81,-12.08,-154.11
2025-03-18 15:48:13.253748+00:00,0.06,0.37,-0.06
2025-03-18 15:40:06.031699+00:00,-6.35,1.04,0.92
2025-03-18 15:39:41.974022+00:00,0.92,-0.92,0.18
2025-03-18 15:51:09.591989+00:00,62.01,253.78,-708.31
2025-03-18 15:49:43.466542+00:00,0.12,0.18,0.0
2025-03-18 15:58:02.648407+00:00,-1.04,0.49,-0.98
2025-03-18 15:58:07.435419+00:00,-0.73,-0.73,0.49
