x,y,z,timestamp
0.06,0.12,0.06,1742284135.2399209
0.12,0.18,0.06,1742284137.4685879
0.12,0.18,0.12,1742284139.1841078
0.12,0.12,0.06,1742284141.2570152
0.12,0.12,0.06,1742284143.2041435
0.12,0.12,0.06,1742284145.2515147
0.12,0.18,0.06,1742284147.1958823
0.12,0.18,0.06,1742284149.2026315
0.18,0.24,0.06,1742284151.1907248
0.12,0.12,0.06,1742284153.2399786
0.12,0.12,0.12,1742284155.593068
0.12,0.12,0.06,1742284157.2433548
0.18,0.12,0.06,1742284159.2801836
0.12,0.12,0.06,1742284161.635403
0.12,0.12,0.06,1742284163.4783432
0.12,0.18,0.06,1742284165.3574853
0.12,0.18,0.06,1742284167.2673254
0.06,0.18,0.06,1742284169.6219623
0.24,0.18,0.06,1742284171.2602491
0.12,0.12,0.06,1742284173.58783
0.12,0.12,0.06,1742284175.357326
0.12,0.12,0.06,1742284177.302992
0.12,0.06,0.06,1742284179.3507805
0.12,0.12,0.06,1742284181.2957628
0.18,0.12,0.12,1742284183.3442054
0.18,0.12,0.06,1742284185.3926666
0.37,0.18,0.06,1742284187.3386457
0.06,0.12,0.12,1742284189.292047
0.12,0.12,0.06,1742284191.6369
0.06,0.12,0.06,1742284193.2829082
0.12,0.12,0.06,1742284195.529622
0.06,0.12,0.06,1742284197.3733408
0.12,0.18,0.06,1742284199.4233396
0.12,0.18,0.06,1742284201.3653572
0.18,0.12,0.06,1742284203.3361251
0.06,0.12,0.06,1742284205.3615303
0.12,0.18,0.06,1742284207.4215226
0.12,0.18,0.06,1742284209.6594136
0.0,0.12,0.06,1742284211.4006965
0.24,0.18,0.06,1742284213.4491847
0.06,0.12,0.06,1742284215.351847
0.06,0.12,0.06,1742284217.4431288
0.18,0.12,0.06,1742284219.3735936
0.12,0.12,0.06,1742284221.4359572
0.31,0.18,0.06,1742284223.4843502
-0.06,0.12,0.12,1742284225.4293249
0.18,0.18,0.12,1742284227.7571497
-0.12,0.12,0.0,1742284229.3873472
0.18,0.18,0.12,1742284231.6761143
0.12,0.12,0.12,1742284233.6382096
0.12,0.18,0.06,1742284235.4651237
0.06,0.12,0.06,1742284237.7174807
0.12,0.12,0.0,1742284239.459271
0.06,0.12,0.12,1742284241.508733
0.12,0.18,0.12,1742284243.5570784
-0.31,0.18,0.06,1742284245.8078768
-0.18,-0.18,0.18,1742284247.4877114
0.12,0.18,0.12,1742284249.599872
-0.55,0.24,0.06,1742284251.5423205
0.12,0.12,0.06,1742284253.4685686
0.06,0.12,0.06,1742284255.4721482
0.12,0.18,0.06,1742284257.4829268
